UF,SC
Cidade,ITUPORANGA
Nome Posto,BARRAGEM SUL
Latitude,-27.501944444444444
Longitude,-49.55305555555555
Codigo,2749017
Qtd. Anos,50
Ano,Maxima
1970,58
1971,86
1972,90
1973,66
1974,59.2
1975,61.6
1976,62.8
1977,84
1978,92.4
1979,84
1980,114.4
1981,53.6
1982,60
1983,84
1984,125.6
1985,49.4
1986,100.8
1987,59.3
1988,49.8
1989,55.5
1990,68.8
1991,71.1
1992,71.5
1993,58.7
1994,65.5
1995,55.2
1996,49.9
1997,104.4
1998,87.3
1999,79.9
2000,97.8
2001,124.2
2002,65.2
2003,80.7
2004,81.2
2005,88.4
2006,93.8
2007,61.5
2008,71.3
2009,66.4
2010,72.2
2011,148
2012,50.2
2013,86.2
2014,81.9
2015,82
2016,100.3
2017,139.3
2018,64.2
2019,69.2
