UF,SC
Cidade,APIUNA
Nome Posto,APIUNA - REGUA NOVA
Latitude,-27.03805555555556
Longitude,-49.394999999999996
Codigo,2749000
Qtd. Anos,79
Ano,Maxima
1941,54.2
1942,95.2
1943,62.6
1944,56.2
1945,62.4
1946,89.1
1947,74.4
1948,115.7
1949,44.5
1950,58.5
1951,66
1952,57.7
1953,54.6
1954,104.6
1955,55
1956,40.6
1957,70.2
1958,76
1959,50
1960,68.6
1961,69.2
1962,60.9
1963,80.2
1964,50.2
1965,60.2
1966,66.4
1967,58.2
1968,65.8
1969,62.5
1970,75.4
1971,65.6
1972,101.5
1973,85.6
1974,91.8
1975,92.4
1976,74.3
1977,80.4
1978,118.2
1979,96.2
1980,97.6
1981,89.2
1982,58.6
1983,81.2
1984,103.6
1985,57.8
1986,66.6
1987,73.6
1988,74.2
1989,100.8
1990,86.7
1991,82.7
1992,86.2
1993,76.5
1994,75.3
1995,125.1
1996,64.4
1997,105.9
1998,66.9
1999,105.9
2000,134.1
2001,107.2
2002,62.5
2003,105.8
2004,90.2
2005,125.9
2006,65
2007,68.5
2008,83.1
2009,65.4
2010,82.8
2011,93.5
2012,52.6
2013,61.2
2014,94.6
2015,59.8
2016,93.8
2017,73.6
2018,45.3
2019,63.4
