UF,SC
Cidade,PAULO LOPES
Nome Posto,PAULO LOPES
Latitude,-27.96222222222222
Longitude,-48.66916666666666
Codigo,2748017
Qtd. Anos,44
Ano,Maxima
1976,72.2
1977,151.2
1978,146.8
1979,179.5
1980,89
1981,188.4
1982,86.4
1983,120.3
1984,105.8
1985,109.7
1986,200.3
1987,117.5
1988,79.8
1989,149.7
1990,95.6
1991,184.9
1992,85.1
1993,185.7
1994,95.9
1995,194.7
1996,156.6
1997,79.7
1998,220.2
1999,95.6
2000,119.5
2001,110.2
2002,94.2
2003,76.5
2004,182.5
2005,117.9
2006,90.5
2007,75.2
2008,176.4
2009,140.5
2010,284.5
2011,110
2012,72.4
2013,75.8
2014,83.8
2015,216.9
2016,122
2017,58.7
2018,56.5
2019,47.3
