UF,SC
Cidade,ARMAZEM
Nome Posto,ARMAZEM CAPIVARI
Latitude,-28.261666666666667
Longitude,-49.01222222222222
Codigo,2848000
Qtd. Anos,75
Ano,Maxima
1945,24.4
1946,95.4
1947,50.6
1948,88.7
1949,80.2
1950,78.3
1951,52.2
1952,41.5
1953,86
1954,130.8
1955,52
1956,102.4
1957,76.3
1958,87.6
1959,52.9
1960,130.6
1961,79.6
1962,54
1963,59.5
1964,61.5
1965,69.6
1966,86
1967,64
1968,56.5
1969,60.8
1970,84
1971,127.8
1972,86.6
1973,98
1974,98.3
1975,43.2
1976,48.6
1977,95.8
1978,92.3
1979,52.3
1980,89.2
1981,85.3
1982,48.4
1983,89.3
1984,53
1985,132
1986,74.6
1987,40.5
1988,30.3
1989,30.9
1990,30.2
1991,30.4
1992,20.6
1993,20.8
1994,44.4
1995,90
1996,52.7
1997,58.8
1998,88.2
1999,69
2000,99
2001,71.7
2002,62.5
2003,66.4
2004,98.1
2005,105.2
2006,94
2007,85.2
2008,71.6
2009,324.8
2010,101.1
2011,110.1
2012,98.8
2013,68.9
2014,40.8
2015,120.4
2016,113.7
2017,63.1
2018,49.5
2019,101.6
