UF,SC
Cidade,MATOS COSTA
Nome Posto,MATOS COSTA (RVPSC)
Latitude,-26.483333333333334
Longitude,-51.166666666666664
Codigo,2651011
Qtd. Anos,60
Ano,Maxima
1939,80.2
1940,58.7
1941,100.1
1942,55
1943,52
1944,34
1945,35
1946,94
1947,41
1948,64
1949,56
1950,73
1951,85
1952,67
1953,46
1954,63
1955,52
1956,63
1957,55
1958,60
1959,62
1960,78
1961,65
1962,78
1963,66
1964,82.3
1965,65
1966,45
1967,38
1968,28
1969,22
1970,17
1971,16
1972,18
1973,16
1974,16
1975,17
1976,56
1977,86.4
1978,61.2
1979,89
1980,59
1981,63.8
1982,91.6
1983,75
1984,99.1
1985,44.5
1986,57
1987,50
1988,75.6
1989,74
1990,88
1991,110.2
1992,48
1993,90.5
1994,65.4
1995,52.1
1996,121.5
2002,45.3
2009,77.8
