UF,SC
Cidade,TAIO
Nome Posto,TAIO
Latitude,-27.113055555555558
Longitude,-49.99444444444445
Codigo,2749003
Qtd. Anos,91
Ano,Maxima
1929,44.2
1930,56.1
1931,100.7
1932,83.2
1933,88.4
1934,60.2
1935,78.4
1936,85.7
1937,54.6
1938,70.5
1939,84.4
1940,65.4
1941,70.5
1942,65.9
1943,84
1944,46.7
1945,47.5
1946,85.4
1947,60.5
1948,111.4
1949,92.6
1950,73.5
1951,87.6
1952,76.4
1953,54.1
1954,81.4
1955,55.5
1956,58.2
1957,110.1
1958,63.1
1959,52.2
1960,60.2
1961,82.1
1962,54
1963,87.9
1964,80.7
1965,47.4
1966,131.4
1967,66.3
1968,65.3
1969,60.3
1970,49.4
1971,71.2
1972,97.2
1973,72.5
1974,88.3
1975,95.7
1976,88.9
1977,86.1
1978,120.6
1979,109.4
1980,100.3
1981,80.4
1982,86.3
1983,90.2
1984,108.6
1985,94.5
1986,86.3
1987,90.3
1988,43.8
1989,73
1990,88.5
1991,57.4
1992,74.8
1993,74.9
1994,82
1995,78
1996,170.7
1997,64.6
1998,88
1999,122.6
2000,108.9
2001,100
2002,94.3
2003,66.1
2004,58.3
2005,113.8
2006,53.7
2007,104.3
2008,62.9
2009,88
2010,107
2011,114.7
2012,65.5
2013,55.7
2014,113.5
2015,59.3
2016,82.1
2017,71.1
2018,108.7
2019,87.3
