UF,SC
Cidade,PRAIA GRANDE
Nome Posto,PRAIA GRANDE
Latitude,-29.195833333333333
Longitude,-49.96333333333334
Codigo,2949001
Qtd. Anos,44
Ano,Maxima
1976,31.6
1977,134.2
1978,55.8
1979,58.2
1980,136
1981,61.5
1982,91.5
1983,101.8
1984,72
1985,171.6
1986,75
1987,90
1988,250
1989,78
1990,146
1991,99.8
1992,99.6
1993,92.4
1994,90.4
1995,57.5
1996,90.2
1997,83
1998,124.3
1999,106.2
2000,95.9
2001,124.2
2002,70
2003,132.1
2004,85
2005,81.8
2006,85
2007,73.3
2008,123
2009,135
2010,92
2011,89.6
2012,105.6
2013,85.4
2014,112.4
2015,79.1
2016,98.9
2017,113
2018,94
2019,65.7
