UF,SC
Cidade,ORLEANS
Nome Posto,ORLEANS - MONTANTE
Latitude,-28.35888888888889
Longitude,-49.294999999999995
Codigo,2849001
Qtd. Anos,81
Ano,Maxima
1939,63.2
1940,68.4
1941,64.2
1942,77.5
1943,61.8
1944,128.6
1945,115.4
1946,106.8
1947,104.6
1948,105
1949,58.2
1950,93.6
1951,71.2
1952,44.4
1953,82.4
1954,90.2
1955,62
1956,73.6
1957,82.6
1958,73.2
1959,41.8
1960,103.6
1961,78.2
1962,47
1963,69.4
1964,76.4
1965,29.6
1966,81.4
1967,88.6
1968,53.2
1969,107.6
1970,52.4
1971,131.4
1972,138.6
1973,103
1974,202
1975,40.2
1976,66.4
1977,124.2
1978,61
1979,50.2
1980,122.2
1981,69.2
1982,90.2
1983,106.6
1984,75.4
1985,89.2
1986,95.6
1987,65.4
1988,68.4
1989,66.4
1990,94
1991,82.2
1992,102.8
1993,62
1994,116
1995,77
1996,150.6
1997,65.4
1998,75.8
1999,62.6
2000,90.8
2001,89.4
2002,60.8
2003,60.6
2004,81
2005,95.6
2006,65.2
2007,53.4
2008,47.2
2009,94.6
2010,91.6
2011,81.8
2012,57.6
2013,709
2014,94
2015,124.4
2016,101.6
2017,81.6
2018,82.8
2019,96.4
