UF,SC
Cidade,DOUTOR PEDRINHO
Nome Posto,DOUTOR PEDRINHO
Latitude,-26.71722222222222
Longitude,-49.48305555555556
Codigo,2649017
Qtd. Anos,65
Ano,Maxima
1954,79
1955,109.9
1956,69.4
1957,55
1958,50
1959,44.5
1960,44
1961,45.8
1962,33.8
1963,56.8
1964,42
1965,42.8
1966,40.2
1967,60
1968,46.2
1969,65
1970,36.2
1971,61.2
1972,85.5
1973,68.2
1974,74
1975,65.9
1976,59.6
1977,67.8
1978,148.4
1979,76.2
1980,107.2
1981,86.2
1982,94.2
1983,85.2
1984,110.8
1985,75.8
1986,69.4
1987,83.2
1988,60.6
1989,95.4
1990,121
1991,117.9
1992,138.2
1993,72.5
1994,122.2
1995,81.8
1996,71
1997,86.2
1998,75.3
1999,136.5
2000,88.5
2001,87.5
2002,78.2
2003,58
2004,160
2005,60.9
2006,39.5
2007,90
2008,90
2009,94.7
2011,90.6
2012,84.2
2013,89.9
2014,108
2015,56.1
2016,47
2017,80
2018,94
2019,85
