UF,SC
Cidade,JOINVILLE
Nome Posto,PONTE SC-301
Latitude,-26.448333333333334
Longitude,-48.83027777777778
Codigo,2648028
Qtd. Anos,42
Ano,Maxima
1977,120
1978,106
1979,69
1980,57
1981,85
1982,78
1983,79
1984,55
1985,89.2
1986,73.3
1987,165.3
1988,73.5
1989,130.5
1990,175.5
1991,100.2
1993,92
1994,140
1995,92.5
1996,110
1997,73.2
1998,104.3
1999,111
2000,101.9
2001,122.7
2002,80.3
2003,68.8
2004,60.4
2005,93.1
2006,92.5
2007,63.6
2008,153.6
2009,140.6
2010,114.5
2011,197.2
2012,128.5
2013,61.9
2014,147.9
2015,74.2
2016,61.5
2017,132.2
2018,85.6
2019,150.1
