UF,SC
Cidade,CORUPA
Nome Posto,CORUPA
Latitude,-26.42388888888889
Longitude,-49.2925
Codigo,2649013
Qtd. Anos,75
Ano,Maxima
1945,45
1946,94
1947,74.4
1948,117
1949,52
1950,50.2
1951,76.4
1952,50
1953,111.7
1954,62.3
1955,161
1956,83
1957,74
1958,53.4
1959,86
1960,90.8
1961,89.8
1962,63.6
1963,72.6
1964,61.4
1965,86.6
1966,85
1967,81.4
1968,82.6
1969,86.6
1970,63.6
1971,68.7
1972,86.8
1973,91.4
1974,85.8
1975,83.2
1976,83.4
1977,86.4
1978,81.2
1979,86.4
1980,83.4
1981,97.6
1982,115.4
1983,129.8
1984,131.4
1985,56.8
1986,106.4
1987,150.6
1988,70.2
1989,93.4
1990,90.4
1991,88.2
1992,93.6
1993,106.4
1994,133.6
1995,91.8
1996,68.6
1997,80.5
1998,76
1999,140
2000,103
2001,73
2002,75
2003,53
2004,82
2005,71
2006,58
2007,67
2008,74
2009,83
2010,93
2011,89
2012,67
2013,48
2014,177
2015,69.9
2016,59.3
2017,93.2
2018,72.4
2019,62.8
