UF,SC
Cidade,POUSO REDONDO
Nome Posto,POUSO REDONDO
Latitude,-27.25722222222222
Longitude,-49.94083333333333
Codigo,2749006
Qtd. Anos,79
Ano,Maxima
1941,56
1942,41
1943,62
1944,46
1945,60
1946,72
1947,55
1948,96
1949,52
1950,66
1951,64
1952,62
1953,53.2
1954,70
1955,65
1956,58
1957,77
1958,110
1959,55
1960,64
1961,81
1962,70
1963,55.2
1964,65.3
1965,55
1966,70
1967,82
1968,68
1969,76
1970,91
1971,101
1972,82
1973,87
1974,64.2
1975,65
1976,115
1977,81.2
1978,108
1979,91.2
1980,112
1981,83.2
1982,58.6
1983,91.2
1984,110.4
1985,84.2
1986,71.2
1987,53
1988,47.6
1989,51
1990,79.6
1991,74
1992,68
1993,73.6
1994,90.4
1995,60.4
1996,70.4
1997,70
1998,75.3
1999,102
2000,80
2001,85.3
2002,120
2003,63.7
2004,53.5
2005,110.7
2006,61.6
2007,82.4
2008,106.8
2009,91.5
2010,71.1
2011,90.8
2012,79.6
2013,72.9
2014,74.6
2015,57.3
2016,82.2
2017,65
2018,70.6
2019,67.1
