UF,SC
Cidade,IRANI
Nome Posto,IRANI
Latitude,-27.051111111111112
Longitude,-51.91222222222222
Codigo,2751011
Qtd. Anos,43
Ano,Maxima
1976,65.2
1977,70.2
1978,89
1979,94.2
1980,93
1981,79.2
1982,76.2
1983,114.2
1984,81.4
1985,63.8
1986,94.8
1987,67.2
1988,60
1989,74.2
1990,123.8
1991,102
1992,128.2
1993,82.8
1995,77.5
1996,109.5
1997,102.2
1998,110
1999,120
2000,82.2
2001,92.8
2002,55.7
2003,69.5
2004,59.8
2005,116.7
2006,89.2
2007,68.2
2008,77.5
2009,64.3
2010,101.4
2011,139.6
2012,70.5
2013,83
2014,174.7
2015,84.8
2016,77.3
2017,87.4
2018,55.1
2019,104.2
