UF,SC
Cidade,IPUMIRIM
Nome Posto,BONITO
Latitude,-26.950833333333332
Longitude,-52.181666666666665
Codigo,2652001
Qtd. Anos,52
Ano,Maxima
1969,58.4
1970,115.2
1971,140.4
1972,111.2
1973,71.8
1974,77
1975,147.8
1976,77
1977,87.2
1978,70.2
1979,65.3
1980,122.8
1981,106.4
1982,133.5
1983,116.6
1984,84.8
1985,108.4
1986,86.4
1987,92.7
1988,64.8
1989,73.1
1990,148.5
1991,94.3
1992,65.7
1993,43.9
1994,36.2
1995,74.3
1996,65.4
1997,93.7
1998,118.5
1999,127.6
2000,94.2
2001,92.1
2002,57.9
2003,117.4
2004,66.2
2005,126.4
2006,100.7
2007,103.9
2008,75.2
2009,70.7
2010,93.3
2011,92.6
2012,79.4
2013,68.5
2014,178.5
2015,95.5
2016,62.5
2017,77.8
2018,120.7
2019,108.5
2020,158.1
