UF,SC
Cidade,IBIRAMA
Nome Posto,PCH SALTO RIO ITAJAI DO NORTE
Latitude,-27.053333333333335
Longitude,-49.51638888888889
Codigo,2749022
Qtd. Anos,46
Ano,Maxima
1944,52
1945,59
1946,87
1947,66.7
1948,86.2
1949,53.7
1950,50.5
1951,61
1952,55.5
1953,50
1954,102.5
1955,85
1956,50
1957,73
1958,80
1959,75.5
1960,66.2
1961,58
1962,54.5
1963,53.5
1964,50
1965,65
1966,75
1967,62.5
1968,53.7
1969,89
1970,67.5
1971,62.5
1972,103
1973,53
1974,52.5
1975,80
1976,50.5
1977,52.5
1978,60
1979,76.5
1980,109.5
1981,82
1982,69.5
1983,83.3
1984,100.3
1985,63.5
1986,74.5
1987,38.7
1989,62
1990,110
