UF,SC
Cidade,BLUMENAU
Nome Posto,ITOUPAVA CENTRAL
Latitude,-26.796666666666667
Longitude,-49.08361111111111
Codigo,2649010
Qtd. Anos,77
Ano,Maxima
1941,108
1942,76.8
1943,72
1944,67.3
1945,83.1
1946,80.5
1947,81.2
1948,123.2
1949,78
1950,58
1951,49
1952,47
1953,84.1
1954,118.2
1955,68.5
1956,55.1
1957,63.2
1958,105
1959,86.2
1960,126
1961,106.4
1962,70
1963,96.8
1964,55.4
1965,106
1966,98.6
1967,67.6
1968,59.7
1969,65
1970,190.4
1971,55.6
1972,116.5
1973,66
1974,76.2
1975,77.1
1976,73
1977,91.2
1978,145
1979,79.2
1980,120.8
1981,94.6
1982,106.2
1983,81.2
1984,117.4
1985,65.8
1986,97
1987,91.6
1988,84.6
1989,130.8
1990,72
1991,109
1992,91.6
1993,105.8
1994,131.8
1995,102.6
1996,59
1997,116.8
1998,79
1999,121.6
2000,89.2
2001,76.6
2002,57.2
2003,64
2004,74.6
2005,116
2006,74
2007,102.8
2008,193.6
2009,83.6
2012,76.4
2013,79.6
2014,90.8
2015,78.4
2016,69.8
2017,64.5
2018,62.8
2019,89.6
