UF,SC
Cidade,FORQUILHINHA
Nome Posto,FORQUILHINHA
Latitude,-28.750555555555554
Longitude,-49.473055555555554
Codigo,2849006
Qtd. Anos,72
Ano,Maxima
1945,32.2
1946,100
1947,98.4
1948,75.4
1949,67.1
1950,70.6
1951,53.6
1952,46.2
1953,100
1954,79.8
1955,82.8
1956,55.2
1957,133.2
1958,85.8
1959,64.6
1960,208.6
1961,77.8
1962,95.6
1963,145.4
1964,102.8
1965,127.2
1966,80.8
1967,66.2
1968,70.4
1969,49.8
1970,44.8
1971,84.2
1972,82.6
1973,103.2
1974,125.4
1975,56.6
1976,62
1977,60
1978,77.4
1979,60.4
1980,116.4
1981,136.3
1982,81.2
1983,114.2
1984,146
1985,133
1986,123.7
1987,87
1988,82
1989,104.1
1990,120.6
1991,61
1992,14.4
1993,79
1994,63.3
1995,38.3
1996,61.2
1997,70.3
1998,90.6
1999,80.6
2000,44.8
2001,54.2
2002,59
2003,53.2
2004,41.6
2005,71.5
2006,45.8
2009,76.7
2010,130.4
2011,85.8
2012,89.6
2013,123.2
2014,74.5
2015,133.3
2016,96
2017,104.5
2018,44.9
