UF,SC
Cidade,ANITA GARIBALDI
Nome Posto,ANITA GARIBALDI
Latitude,-27.692222222222224
Longitude,-51.129444444444445
Codigo,2751001
Qtd. Anos,57
Ano,Maxima
1964,76
1965,120
1966,99.2
1967,79.3
1968,57
1969,123
1970,90.4
1971,89
1972,75
1973,83.8
1974,84.6
1975,65
1976,69
1977,76.2
1978,76.2
1979,87.6
1980,79.6
1981,66
1982,103
1983,81.4
1984,132
1985,88.8
1986,76.8
1987,84.5
1988,78.4
1989,69
1990,78.2
1991,56.2
1992,92.4
1993,107.2
1994,99.4
1995,71.3
1996,62.7
1997,93.5
1998,165.3
1999,95.6
2000,76.6
2001,143.4
2002,54.3
2003,62.1
2004,112.2
2005,93.4
2006,70.6
2007,49.4
2008,78.7
2009,86.5
2010,70.8
2011,151.2
2012,135.5
2013,68.7
2014,135.2
2015,138.9
2016,87.5
2017,148.9
2018,62.3
2019,85.1
2020,28.7
