UF,SC
Cidade,BLUMENAU
Nome Posto,BLUMENAU  (PCD)
Latitude,-26.918055555555558
Longitude,-49.06527777777777
Codigo,2649007
Qtd. Anos,76
Ano,Maxima
1944,64.9
1945,70.8
1946,81.4
1947,53
1948,99.2
1949,84
1950,51
1951,89.6
1952,63.6
1953,63.4
1954,107
1955,81.8
1956,46.3
1957,65.6
1958,82.4
1959,89.5
1960,123.5
1961,110.9
1962,126.4
1963,91
1964,50.4
1965,97.6
1966,90.6
1967,70.1
1968,59
1969,64.9
1970,140.8
1971,65.7
1972,105.3
1973,88
1974,159.5
1975,115
1976,97
1977,83
1978,78
1979,73.2
1980,59.4
1981,81.4
1982,87
1983,79.6
1984,105
1985,100.1
1986,94.6
1987,70.2
1988,55.6
1989,125.9
1990,66.7
1991,112.8
1992,144.3
1993,118.1
1994,101.2
1995,83.9
1996,70
1997,79
1998,98.4
1999,75.5
2000,76.1
2001,89.7
2002,51.1
2003,74.6
2004,65.9
2005,94.3
2006,25.8
2007,82.4
2008,250.9
2009,76.9
2010,84.9
2011,101.4
2012,70.4
2013,75.6
2014,89.9
2015,62
2016,62
2017,64.7
2018,97.8
2019,113.2
