UF,SC
Cidade,SAO DOMINGOS
Nome Posto,MARATA
Latitude,-26.58361111111111
Longitude,-52.640277777777776
Codigo,2652002
Qtd. Anos,49
Ano,Maxima
1972,100
1973,87.8
1974,81
1975,75.4
1976,106.2
1977,41.4
1978,49.2
1979,125.2
1980,75.2
1981,80.4
1982,98.2
1983,110.4
1984,91.4
1985,71.3
1986,108.6
1987,76.8
1988,69.8
1989,95.8
1990,135.8
1991,138.4
1992,130.3
1993,80
1994,100
1995,83.7
1996,75.1
1997,120
1998,114
1999,93.8
2000,65.3
2001,117.6
2002,90
2003,156.5
2004,80.4
2005,148.9
2006,88.9
2007,110
2008,130
2009,80.2
2010,98
2011,150
2012,97.9
2013,96.5
2014,230
2015,122.3
2016,69.7
2017,94.2
2018,55.3
2019,112
2020,30.7
