UF,SC
Cidade,JOSE BOITEUX
Nome Posto,BARRAGEM NORTE
Latitude,-26.895
Longitude,-49.67222222222222
Codigo,2649061
Qtd. Anos,42
Ano,Maxima
1976,56.1
1977,70.3
1978,105
1979,108.5
1980,103.4
1981,54.8
1982,98.4
1983,79.2
1984,93.8
1985,55
1986,51.3
1987,64
1988,50
1989,65
1990,50
1992,18.4
1993,89
1994,74
1995,142
1996,73
1997,100
1998,65.2
1999,101
2000,72.4
2001,85.2
2002,138
2003,71
2005,71.6
2006,66
2007,81.4
2008,121.2
2009,91
2010,124
2011,102.4
2012,75.6
2013,72.4
2014,66.2
2015,65.6
2016,58.8
2017,83.2
2018,64.5
2019,86.3
