UF,SC
Cidade,PONTE ALTA
Nome Posto,PONTE ALTA DO SUL
Latitude,-27.481944444444444
Longitude,-50.385
Codigo,2750011
Qtd. Anos,64
Ano,Maxima
1957,66.1
1958,62.6
1959,110
1960,140.2
1961,257
1962,50.6
1963,100
1964,75.2
1965,65
1966,82
1967,84.8
1968,75.6
1969,81.1
1970,102.4
1971,60
1972,86.4
1973,77.8
1974,69.8
1975,68.9
1976,67.4
1977,100.2
1978,60.2
1979,82.4
1980,71
1981,57
1982,98.1
1983,93.1
1984,120.2
1985,40.4
1986,48.5
1987,96
1988,57.5
1989,74.1
1990,71.5
1991,85
1992,104
1993,87.8
1994,74.4
1995,49
1996,88.1
1997,74.9
1998,123.6
1999,76.2
2000,57.5
2001,128.2
2002,91.2
2003,67.1
2004,61.1
2005,136.2
2006,49.8
2007,37.2
2008,74.1
2009,101.3
2010,86.4
2011,107.2
2012,138.3
2013,89.6
2014,82.1
2015,111.2
2016,58.3
2017,108.3
2018,69.7
2019,75.9
2020,27.7
