UF,SC
Cidade,TROMBUDO CENTRAL
Nome Posto,TROMBUDO CENTRAL
Latitude,-27.290277777777778
Longitude,-49.76888888888889
Codigo,2749013
Qtd. Anos,75
Ano,Maxima
1945,31.8
1946,74
1947,78.6
1948,90.2
1949,70
1950,74.4
1951,100.1
1952,67.6
1953,81.8
1954,77.8
1955,61.4
1956,91.6
1957,82.4
1958,85
1959,48.2
1960,53.6
1961,153.8
1962,57.4
1963,58.2
1964,72.3
1965,54.6
1966,56.8
1967,55.2
1968,46.4
1969,90.2
1970,73.6
1971,79.6
1972,90.2
1973,80
1974,46.8
1975,67.8
1976,73
1977,88.6
1978,104.4
1979,86.2
1980,60
1981,54.7
1982,79.8
1983,84.4
1984,101.5
1985,77.8
1986,71.7
1987,70.7
1988,61.8
1989,51.8
1990,86.8
1991,62
1992,78.6
1993,65.4
1994,60.4
1995,56
1996,58.8
1997,84.4
1998,74.6
1999,102
2000,65
2001,97.4
2002,68.2
2003,59.9
2004,86.3
2005,80.2
2006,77.4
2007,67.5
2008,51.2
2009,165
2010,75.4
2011,86.6
2012,75.4
2013,78.5
2014,80.4
2015,124.5
2016,74.3
2017,94.4
2018,64.2
2019,103
