UF,SC
Cidade,MACIEIRA
Nome Posto,QUILOMETRO 30
Latitude,-26.77583333333333
Longitude,-51.26277777777778
Codigo,2651036
Qtd. Anos,45
Ano,Maxima
1976,62
1977,71.8
1978,58.4
1979,101.4
1980,52.3
1981,67.6
1982,61.4
1983,114.6
1984,89.4
1985,59.4
1986,100.5
1987,133.8
1988,95.2
1989,64.4
1990,115.4
1991,109.3
1992,94.3
1993,66.7
1994,122.4
1995,69.8
1996,79.9
1997,93.5
1998,78.6
1999,64.1
2000,79.2
2001,62.8
2002,66.6
2003,97.1
2004,55.3
2005,63.4
2006,37.9
2007,78.7
2008,58.2
2009,88.8
2010,132.2
2011,86.7
2012,84.3
2013,73.4
2014,86.7
2015,94.1
2016,73.5
2017,63.4
2018,96.7
2019,89.6
2020,39.1
