UF,SC
Cidade,BOCAINA DO SUL
Nome Posto,RIO BONITO
Latitude,-27.703888888888887
Longitude,-49.84722222222222
Codigo,2749009
Qtd. Anos,60
Ano,Maxima
1959,41.8
1960,60.2
1961,86.4
1962,110
1963,90.6
1964,127.2
1965,81.3
1966,69
1967,62.6
1968,58.4
1969,39.6
1970,91.8
1971,58.8
1972,61.2
1973,72.4
1974,69.6
1975,55.6
1976,158
1977,84
1978,43.2
1979,99.3
1980,125
1981,55.3
1982,66.4
1983,98.4
1984,120
1985,50.4
1986,63
1987,111.4
1988,94.6
1989,84.6
1990,70
1991,65
1992,12
1995,58.7
1996,86.9
1997,92.2
1998,87.3
1999,78.8
2000,93.9
2001,100.8
2002,67
2003,66.6
2004,71
2005,139
2006,55
2007,74
2008,55.4
2009,88.4
2010,58.9
2011,124.5
2012,82.2
2013,91.6
2014,79.1
2015,94.4
2016,80
2017,160.6
2018,60
2019,48.5
2020,81.1
