UF,SC
Cidade,MAJOR GERCINO
Nome Posto,FAZENDA BOA ESPERANCA
Latitude,-27.397777777777776
Longitude,-48.98027777777778
Codigo,2749015
Qtd. Anos,65
Ano,Maxima
1955,16.2
1956,79.4
1957,76
1958,60.2
1959,52.4
1960,103
1961,109
1962,90.6
1963,75
1964,70.2
1965,78.4
1966,56.8
1967,50.4
1968,48.6
1969,45.2
1970,58.6
1971,59.8
1972,118.4
1973,76.8
1974,79.2
1975,53.4
1976,73.6
1977,128.6
1978,76.2
1979,78.4
1980,100
1981,94.6
1982,76.2
1983,68.2
1984,136.2
1985,95.6
1986,107.2
1987,122.2
1988,76.8
1989,101.1
1990,93.9
1991,86.9
1992,67.7
1993,69.8
1994,41.8
1995,89
1996,72.1
1997,108.7
1998,146.6
1999,59.3
2000,74.5
2001,120.3
2002,64.5
2003,52
2004,82.3
2005,105.7
2006,71.6
2007,70.8
2008,122.3
2009,68.6
2010,72.9
2011,96.1
2012,77.3
2013,139.3
2014,78.6
2015,62.5
2016,82.4
2017,67.4
2018,78.7
2019,63.8
