UF,SC
Cidade,ITAIOPOLIS
Nome Posto,BARRA DO PRATA
Latitude,-26.6975
Longitude,-49.82805555555556
Codigo,2649058
Qtd. Anos,43
Ano,Maxima
1977,15.4
1978,132.4
1979,102.4
1980,80.6
1981,77.6
1982,59.4
1983,83.6
1984,91.8
1985,95.8
1986,87.8
1987,57.6
1988,63.6
1989,68.2
1990,92.2
1991,72
1992,79
1993,64.4
1994,85.8
1995,98
1996,109.2
1997,98
1998,81.6
1999,106.4
2000,75
2001,78
2002,50.3
2003,57.2
2004,93
2005,86
2006,50
2007,85.4
2008,75
2009,95.5
2010,95
2011,102.3
2012,87
2013,76.5
2014,60
2015,60.5
2016,57.5
2017,62.3
2018,72.3
2019,73.2
