UF,SC
Cidade,JOINVILLE
Nome Posto,PRIMEIRO SALTO DO CUBATAO
Latitude,-26.215833333333332
Longitude,-49.080555555555556
Codigo,2649060
Qtd. Anos,39
Ano,Maxima
1981,125.3
1982,78
1983,108.2
1984,87
1985,82
1986,90
1987,165.2
1988,92.2
1989,158
1990,135.3
1991,94.5
1992,119.6
1993,88.2
1994,116
1995,384
1996,108.6
1997,85.5
1998,95.2
1999,153
2000,85.3
2001,97.7
2002,70.7
2003,148
2004,96.7
2005,89
2006,106.7
2007,76
2008,130
2009,83.4
2010,155.7
2011,118.5
2012,108.8
2013,777
2014,147.3
2015,66.8
2016,86
2017,93.9
2018,97.7
2019,90.1
