UF,SC
Cidade,ARAQUARI
Nome Posto,ITAPOCU
Latitude,-26.561666666666667
Longitude,-48.719166666666666
Codigo,2648020
Qtd. Anos,44
Ano,Maxima
1976,50.2
1977,110.4
1978,90.2
1979,65.4
1980,116.2
1981,112.6
1982,96.6
1983,95.2
1984,179.6
1985,97
1986,108.9
1987,189.4
1988,72.5
1989,175.5
1990,66.7
1991,97.8
1992,122.3
1993,116.5
1994,502.8
1995,100.9
1996,82.2
1997,54.9
1998,167
1999,156.3
2000,75.4
2001,125
2002,55.9
2003,72.9
2004,46.7
2005,62.8
2006,36.4
2007,23.4
2008,32.6
2009,62.3
2010,15.3
2011,33.1
2012,64.6
2013,86.5
2014,135.9
2015,62.5
2016,65.7
2017,87.4
2018,70.5
2019,90.7
