UF,SC
Cidade,SANTA ROSA DE LIMA
Nome Posto,SANTA ROSA DE LIMA
Latitude,-28.03222222222222
Longitude,-49.118611111111115
Codigo,2849031
Qtd. Anos,34
Ano,Maxima
1986,22.3
1987,113.1
1988,104.5
1989,91
1990,112.8
1991,72.6
1992,55.3
1993,104
1994,70
1995,84.3
1996,51.3
1997,120
1998,69.1
1999,72.4
2000,128.7
2001,156.8
2002,84.8
2003,83
2004,77.1
2005,125.5
2006,81.2
2007,96.6
2008,43.2
2009,111.5
2010,116.2
2011,107.1
2012,52.8
2013,76.1
2014,72.8
2015,78.8
2016,112.5
2017,72.8
2018,53.7
2019,82.9
