UF,SC
Cidade,INDAIAL
Nome Posto,INDAIAL
Latitude,-26.91361111111111
Longitude,-49.2675
Codigo,2649005
Qtd. Anos,71
Ano,Maxima
1941,55.3
1942,106.4
1943,64.4
1944,63.4
1945,74.2
1946,93.4
1947,71.1
1948,122
1949,58.2
1950,95.6
1951,67.6
1952,70
1953,63
1954,81.8
1955,63.2
1956,44.2
1957,90.8
1958,94.4
1959,76.2
1960,78.2
1961,124.4
1962,45
1963,53.2
1964,54.2
1965,70.4
1966,68.2
1967,84.3
1968,60.1
1969,74.2
1970,60.3
1971,75.2
1972,71.3
1973,50.2
1974,64.3
1975,70.8
1976,62.2
1977,66
1978,112.6
1979,98.1
1980,19.2
1984,120.4
1985,57
1986,52.4
1987,77
1988,59.5
1989,123.5
1990,81
1991,73.5
1992,92.6
1993,62.2
1994,83
1995,29.5
1996,46.6
1997,97.4
1998,82.6
1999,66.5
2000,73.6
2001,102.1
2002,84.3
2003,57.3
2004,105.1
2005,85
2006,67.3
2007,70.8
2008,110.3
2009,81.6
2010,79
2011,93.1
2013,59
2014,86
2015,54
