UF,SC
Cidade,GRAO PARA
Nome Posto,RIO PEQUENO
Latitude,-28.209444444444443
Longitude,-49.19499999999999
Codigo,2849008
Qtd. Anos,75
Ano,Maxima
1945,22.9
1946,55
1947,72
1948,78.2
1949,91
1950,113.5
1951,64.5
1952,42.5
1953,108.6
1954,49.6
1955,62.4
1956,74.4
1957,107.6
1958,66.6
1959,50.4
1960,146.1
1961,73.8
1962,48.4
1963,128
1964,53.4
1965,91.2
1966,64.8
1967,57.8
1968,52.2
1969,88.4
1970,63.6
1971,94
1972,102.8
1973,100
1974,131
1975,53.2
1976,85.2
1977,118
1978,64.4
1979,124.6
1980,88.4
1981,66.2
1982,50
1983,103
1984,56
1985,38.2
1986,106
1987,101.4
1988,85.2
1989,76.2
1990,81.6
1991,90.8
1992,61.8
1993,66.8
1994,101.2
1995,108.8
1996,65.6
1997,81.8
1998,75.8
1999,59.6
2000,84.6
2001,108.2
2002,74.4
2003,49
2004,70
2005,129.6
2006,88.8
2007,72.4
2008,83.2
2009,95
2010,88.6
2011,93.8
2012,76.1
2013,77.6
2014,104.2
2015,78.2
2016,104.2
2017,108
2018,206
2019,88
