UF,SC
Cidade,LAGES
Nome Posto,COXILHA RICA
Latitude,-28.15222222222222
Longitude,-50.44083333333333
Codigo,2850004
Qtd. Anos,63
Ano,Maxima
1958,80.4
1959,95
1960,107.4
1961,190.1
1962,71
1963,61.3
1964,60.2
1965,203.4
1966,81.1
1967,97.4
1968,63.2
1969,63.4
1970,50.4
1971,64
1972,135.8
1973,89.2
1974,118.4
1975,46.4
1976,52
1977,117
1978,95
1979,66
1980,31
1981,92
1982,75
1983,123
1984,95
1985,100
1986,93
1987,100
1988,70.8
1989,80
1990,50.4
1991,80.8
1992,126.8
1993,226
1994,42.7
1995,42.4
1996,60.2
1997,99.3
1998,91.7
1999,52.5
2000,80.9
2001,120.6
2002,59.3
2003,116
2004,117
2005,98.7
2006,70.6
2007,72.5
2008,92
2009,49
2010,72
2011,108
2012,60.8
2013,65
2014,87
2015,112
2016,75.4
2017,85.3
2018,64
2019,60
2020,52.4
