UF,SC
Cidade,BOCAINA DO SUL
Nome Posto,VILA CANOAS
Latitude,-27.804166666666667
Longitude,-49.78
Codigo,2749031
Qtd. Anos,64
Ano,Maxima
1957,61
1958,72.4
1959,47
1960,96.4
1961,69
1962,86.8
1963,74
1964,59.2
1965,101.2
1966,70.8
1967,62.6
1968,54.1
1969,76.4
1970,67.2
1971,56.2
1972,90.2
1973,85.2
1974,70.8
1975,64.8
1976,77.5
1977,51
1978,53
1979,25
1980,50
1981,50
1982,50
1983,78
1984,100
1985,50
1986,65
1987,87
1988,50
1989,66.2
1990,50
1991,65
1992,50
1993,75
1994,40
1995,50
1996,58.7
1997,83.7
1998,106.1
1999,89
2000,76.5
2001,170.3
2002,85.2
2003,69.7
2004,80
2005,143.9
2006,66.6
2007,48.7
2008,61.5
2009,75.1
2010,54.2
2011,87.5
2012,95.2
2013,95.2
2014,64.8
2015,98.2
2016,87.3
2017,140.7
2018,60.2
2019,54.1
2020,48.6
