UF,SC
Cidade,CAMPOS NOVOS
Nome Posto,UHE CAMPOS NOVOS BARRAMENTO
Latitude,-27.60638888888889
Longitude,-51.32555555555556
Codigo,2751002
Qtd. Anos,55
Ano,Maxima
1923,75.7
1924,66.1
1925,94.6
1926,58.4
1927,103.2
1928,82.4
1929,68.6
1930,75.4
1931,117.2
1932,79.8
1933,83.1
1934,90
1935,93
1936,57.3
1937,64.8
1938,75
1939,64.8
1940,60.9
1941,131.4
1948,36.2
1949,32.4
1950,75.1
1951,86.2
1952,59.6
1953,109.3
1954,86.2
1955,72.8
1956,73
1957,62.7
1958,102.3
1959,77.7
1960,33
1961,19.7
1969,94.7
1970,99
1971,88.6
1972,80.7
1973,67
1974,62.2
1975,103.8
1976,61.8
1977,115.2
1978,74.2
1981,81
1982,64.2
1983,97.4
1984,90.6
1985,66.8
1992,68.2
1993,71.4
1994,89.6
1995,84.6
1996,94
1997,109.8
1998,81.7
