UF,SC
Cidade,IBIRAMA
Nome Posto,IBIRAMA
Latitude,-27.05388888888889
Longitude,-49.516666666666666
Codigo,2749001
Qtd. Anos,86
Ano,Maxima
1934,59.2
1935,84.1
1936,92.3
1937,98.7
1938,138.3
1939,83
1940,84.5
1941,54.9
1942,75.3
1943,87.6
1944,45.8
1945,56.8
1946,70.4
1947,69.5
1948,66.3
1949,47.7
1950,51.8
1951,65.2
1952,65.2
1953,56.4
1954,69.2
1955,66.1
1956,49.9
1957,66.3
1958,67.2
1959,42.7
1960,62.5
1961,58.9
1962,46.6
1963,52.1
1964,49.1
1965,66.4
1966,66.3
1967,56.2
1968,42.4
1969,57.3
1970,77.3
1971,72.1
1972,83.7
1973,69.5
1974,46.7
1975,82.8
1976,52.5
1977,91.1
1978,110.1
1979,105.2
1980,103.2
1981,91.8
1982,64.2
1983,86.3
1984,103.4
1985,64.6
1986,61.6
1987,65.4
1988,71
1989,67
1990,92.1
1991,85
1992,89.2
1993,77.1
1994,74.3
1995,108.8
1996,49.2
1997,100.8
1998,61.2
1999,83.8
2000,65.2
2001,132.7
2002,73.7
2003,73.8
2004,115
2005,135
2006,40.6
2007,62
2008,58
2009,80
2010,105
2011,81
2012,85
2013,90
2014,80
2015,70
2016,65
2017,90
2018,80
2019,70
