UF,SC
Cidade,SAO MARTINHO
Nome Posto,VARGEM DO CEDRO
Latitude,-28.103611111111114
Longitude,-48.919444444444444
Codigo,2848006
Qtd. Anos,44
Ano,Maxima
1976,87
1977,115.2
1978,100
1979,59
1980,108.4
1981,126
1982,87.2
1983,95.6
1984,77.6
1985,129.4
1986,118
1987,136.4
1988,52.6
1989,134
1990,84
1991,105.4
1992,59.6
1993,100
1994,103.4
1995,126
1996,80.6
1997,119.6
1998,114.2
1999,62.2
2000,95.1
2001,97
2002,105.6
2003,51.6
2004,108
2005,122.9
2006,85.4
2007,75
2008,63.8
2009,111
2010,200.4
2011,128.2
2012,74
2013,108.2
2014,124.6
2015,118.6
2016,90
2017,72.4
2018,75.4
2019,125.8
