UF,SC
Cidade,PALMA SOLA
Nome Posto,PALMA SOLA
Latitude,-26.345555555555553
Longitude,-53.27166666666667
Codigo,2653013
Qtd. Anos,44
Ano,Maxima
1976,80.2
1977,93
1978,90.2
1979,143.4
1980,93
1981,127.4
1982,125
1983,149.6
1984,119.2
1985,73
1986,96.3
1987,131.2
1988,120.6
1989,72
1990,118.5
1991,77
1992,112
1993,94
1994,95
1995,98.6
1996,94.7
1997,92.4
1998,159.6
1999,90.3
2000,73.3
2001,142.9
2002,124.3
2003,147.4
2004,103.3
2005,103.5
2006,75.5
2007,79.3
2008,77.4
2009,95.4
2010,155.3
2011,98.8
2012,130.4
2013,111.5
2014,112.5
2015,135.8
2016,93.8
2017,113.8
2018,110
2019,97.5
