UF,SC
Cidade,MELEIRO
Nome Posto,FOZ DO MANUEL ALVES
Latitude,-28.853611111111114
Longitude,-49.58972222222222
Codigo,2849024
Qtd. Anos,43
Ano,Maxima
1977,20.8
1978,86.6
1979,69
1980,121.2
1981,106.3
1982,72.4
1983,136
1984,140.2
1985,146.4
1986,119.3
1987,63.6
1988,86.6
1989,142.6
1990,125.9
1991,80.2
1992,70.8
1993,83
1994,65
1995,68.2
1996,60
1997,70
1998,91
1999,80
2000,120.7
2001,115
2002,75
2003,80.3
2004,94.2
2005,63
2006,75
2007,88
2008,74
2009,108
2010,100
2011,80
2012,80
2013,90
2014,94
2015,93
2016,95
2017,75
2018,50
2019,90
