UF,SC
Cidade,PONTE ALTA DO NORTE
Nome Posto,PONTE ALTA DO NORTE
Latitude,-27.16111111111111
Longitude,-50.46888888888889
Codigo,2750010
Qtd. Anos,62
Ano,Maxima
1959,24.3
1960,62
1961,82
1962,64.9
1963,80
1964,50.4
1965,65
1966,67.1
1967,56.3
1968,55.4
1969,79.4
1970,64.4
1971,72.4
1972,66.2
1973,73.1
1974,73.1
1975,84.3
1976,48.1
1977,96.2
1978,76.1
1979,81.5
1980,119
1981,59
1982,51.2
1983,91.4
1984,89.2
1985,67.2
1986,66
1987,70.8
1988,57.4
1989,70.3
1990,83.3
1991,79.6
1992,94.6
1993,59.8
1994,73.8
1995,92.8
1996,79.8
1997,94.5
1998,74.3
1999,134.7
2000,57.4
2001,65.6
2002,78.3
2003,55.1
2004,67
2005,90.3
2006,52.9
2007,90.6
2008,61.5
2009,55.5
2010,107.5
2011,93.2
2012,77.6
2013,73.5
2014,87.6
2015,84.6
2016,85
2017,77.8
2018,51.9
2019,62.2
2020,129.2
