UF,SC
Cidade,MODELO
Nome Posto,MODELO
Latitude,-26.775277777777777
Longitude,-53.046388888888885
Codigo,2653003
Qtd. Anos,48
Ano,Maxima
1972,114.3
1973,95
1974,70.2
1975,105.4
1976,82
1977,55.3
1978,58
1979,81.2
1980,85.1
1981,67.5
1982,169.5
1983,118
1984,59
1985,86
1986,62.1
1987,61.9
1988,82.5
1989,65.7
1990,142
1991,140.8
1992,164.8
1993,128.4
1994,77.2
1995,88.1
1996,112.2
1997,141
1998,91.3
1999,121.2
2000,71.9
2001,912
2002,98.2
2003,61
2004,82.5
2005,86.3
2006,126.3
2007,162
2008,115.4
2009,84.3
2010,122.3
2011,108.4
2012,97.2
2013,122.4
2014,125.1
2015,115.1
2016,89.4
2017,130.1
2018,102.4
2019,129.6
