UF,SC
Cidade,RIO NEGRINHO
Nome Posto,CORREDEIRA
Latitude,-26.419444444444444
Longitude,-49.573055555555555
Codigo,2649055
Qtd. Anos,41
Ano,Maxima
1976,34.2
1977,69
1978,76.8
1979,79.6
1980,105.6
1981,84
1982,65.4
1983,124.8
1984,105.7
1985,59.2
1986,64.4
1987,84
1988,58.4
1989,96.8
1990,97.2
1991,85.4
1992,168.1
1993,91.9
1994,68.2
1995,86
1996,96.5
1997,113.7
1998,65.1
1999,131.4
2000,84.2
2001,75.1
2002,51.3
2003,48
2004,93
2005,80.5
2006,45.2
2007,64.9
2008,65.2
2009,68.9
2010,45.2
2011,61.5
2012,97.4
2013,57.1
2014,34
2015,38.7
2017,1999.8
