UF,SC
Cidade,JOINVILLE
Nome Posto,JOINVILLE (RVPSC)
Latitude,-26.321666666666665
Longitude,-48.84638888888889
Codigo,2648014
Qtd. Anos,79
Ano,Maxima
1938,76.3
1939,36.5
1940,81.7
1941,97.3
1942,111.7
1943,73.6
1944,42.6
1945,42.2
1946,43.8
1947,56
1948,65.4
1949,28.6
1950,44.2
1951,43
1952,94.4
1953,26.6
1954,58.6
1955,55.5
1956,35.2
1957,48.2
1958,46.2
1959,40.4
1960,61.5
1961,60.5
1962,65.8
1963,43
1964,29.1
1965,69.6
1966,153.3
1967,112
1968,105.4
1969,125
1970,73
1971,102
1972,198
1973,72.4
1974,124
1975,148
1976,87.6
1977,124.6
1978,70
1979,38
1980,52
1983,96
1984,60.4
1985,81
1986,72.2
1987,82.8
1988,66
1989,63
1990,42.4
1991,38.4
1992,77.3
1993,104.7
1994,128
1995,93.9
1996,90.2
1997,75.6
1998,112
1999,79.6
2000,82.9
2001,107.4
2002,46
2003,122.1
2005,81
2006,70
2007,105
2008,172
2009,111
2010,110
2011,101
2012,100
2013,82
2014,100
2015,114
2016,84.8
2017,163
2018,105
2019,197
