UF,SC
Cidade,INDAIAL
Nome Posto,WARNOW
Latitude,-26.94361111111111
Longitude,-49.28944444444444
Codigo,2649001
Qtd. Anos,63
Ano,Maxima
1941,52.8
1942,69.5
1943,69.4
1944,68.1
1945,65.7
1946,65.4
1947,63.5
1948,63.6
1949,62.2
1950,67.7
1951,55.2
1952,62.2
1953,61.8
1954,62.2
1955,53.4
1956,37.2
1957,67.4
1958,66.2
1959,53.6
1960,64.6
1961,70.4
1962,57.4
1963,65.8
1964,64.4
1965,65.4
1966,66.4
1967,41.4
1981,65.2
1982,146.6
1983,81.4
1984,94.8
1985,28.4
1986,40.8
1987,46.9
1988,56.2
1989,78.6
1990,76.9
1991,86.1
1992,94.6
1993,79.4
1994,94
1995,98.8
1996,78
1997,89.4
1998,85.7
1999,115.9
2000,57.1
2001,115.1
2002,75
2003,85.8
2004,122.2
2005,110.8
2006,56.5
2007,57.2
2008,124
2009,97.7
2010,92
2011,83
2012,82
2013,59
2014,89
2015,59
2018,67.5
