UF,SC
Cidade,ITAIOPOLIS
Nome Posto,MOEMA
Latitude,-26.530555555555555
Longitude,-49.843611111111116
Codigo,2649054
Qtd. Anos,41
Ano,Maxima
1976,147.1
1977,83
1978,88
1979,99.2
1980,94.8
1981,82.8
1982,76.4
1983,128.6
1984,126.4
1985,62.2
1986,71.5
1987,85.4
1988,58.2
1989,91
1990,93.6
1991,118.4
1992,147.2
1993,91.2
1994,72.6
1995,170
1996,127.6
1997,136.6
1998,71.5
1999,87.2
2000,66.7
2001,77.2
2002,57
2003,61.4
2004,27.7
2005,74.2
2006,37.1
2007,200.8
2008,52.5
2009,100.4
2010,76.3
2011,87.2
2012,118.8
2013,84.6
2014,171.5
2015,67.1
2017,178
