UF,SC
Cidade,RIO DO SUL
Nome Posto,RIO DO SUL - NOVO
Latitude,-27.205555555555556
Longitude,-49.63166666666667
Codigo,2749039
Qtd. Anos,41
Ano,Maxima
1979,49
1980,101.5
1981,47.4
1982,58.9
1983,98.7
1984,109.6
1985,118
1986,59.8
1987,66.2
1988,77.6
1989,58.4
1990,99.1
1991,75.8
1992,76.4
1993,79.3
1994,61.6
1995,66.4
1996,55.7
1997,67.2
1998,77.6
1999,85.7
2000,85
2001,62.7
2002,79.6
2003,58.8
2004,90.4
2005,88.3
2006,60.4
2007,72.2
2008,40.8
2009,57.9
2010,80.5
2011,86
2012,69
2013,59
2014,85
2015,57.2
2016,57.6
2017,68.5
2018,62.9
2019,85.7
