UF,SC
Cidade,ROMELANDIA
Nome Posto,PONTE DO SARGENTO
Latitude,-26.68277777777778
Longitude,-53.28666666666666
Codigo,2653004
Qtd. Anos,52
Ano,Maxima
1969,60.4
1970,84.6
1971,89.2
1972,111.8
1973,108.8
1974,117.4
1975,171.6
1976,84.6
1977,70.2
1978,62.2
1979,133.8
1980,78.8
1981,104.4
1982,92.4
1983,154.2
1984,92.3
1985,70.9
1986,91.2
1987,138.6
1988,85.2
1989,62.4
1990,128.6
1991,125.2
1992,128.2
1993,97.2
1994,80.3
1995,95.6
1996,66.2
1997,126.4
1998,98.6
1999,141
2000,66.3
2001,100.2
2002,96.4
2003,167.3
2004,79.5
2005,113.8
2006,132.3
2007,118.5
2008,91.7
2009,64.6
2010,124.1
2011,150.7
2012,113.9
2013,110.3
2014,115.8
2015,138.2
2016,57.9
2017,118.3
2018,110.7
2019,103.1
2020,88.3
