UF,SC
Cidade,SAO JOSE DO CERRITO
Nome Posto,PASSO CARU
Latitude,-27.541666666666668
Longitude,-50.856944444444444
Codigo,2750008
Qtd. Anos,62
Ano,Maxima
1959,32
1960,60.6
1961,67.8
1962,79.6
1963,99.4
1964,74.6
1965,89
1966,99.6
1967,68.4
1968,83.6
1969,77
1970,92.4
1971,91.6
1972,95.6
1973,78
1974,56
1975,62
1976,67.6
1977,100.4
1978,64
1979,86
1980,98
1981,110
1982,71
1983,176
1984,98
1985,77
1986,72
1987,84.4
1988,83.4
1989,70.2
1990,97
1991,74
1992,66.1
1993,49.6
1994,76.2
1995,48.2
1996,61
1997,78.7
1998,140.8
1999,92.5
2000,94
2001,124.5
2002,59.7
2003,67.7
2004,67.5
2005,90.4
2006,100.1
2007,55.7
2008,59.5
2009,66.5
2010,107
2011,100
2012,119.2
2013,126.4
2014,98.1
2015,105
2016,65.2
2017,125.2
2018,77.7
2019,60.3
2020,48.8
