UF,SC
Cidade,CAMPO BELO DO SUL
Nome Posto,CAMPO BELO DO SUL
Latitude,-27.898888888888887
Longitude,-50.75361111111111
Codigo,2750001
Qtd. Anos,39
Ano,Maxima
1969,83.4
1970,69.9
1971,71.5
1972,98.6
1973,105.1
1974,75.1
1975,50.9
1976,61.8
1985,40.4
1991,91.3
1992,116.4
1993,153
1994,110.8
1995,67.3
1996,59.2
1997,84
1998,107
1999,62.5
2000,71.8
2001,165.1
2002,60.5
2003,67.3
2004,83.2
2005,118.6
2006,107.2
2007,68.4
2008,55.2
2009,88.5
2010,80.5
2011,87
2012,79.2
2013,101.9
2014,103.9
2015,120.3
2016,55.5
2017,115.3
2018,68.5
2019,57
2020,13.9
