UF,SC
Cidade,RIO DOS CEDROS
Nome Posto,ARROZEIRA
Latitude,-26.740833333333335
Longitude,-49.27055555555555
Codigo,2649008
Qtd. Anos,79
Ano,Maxima
1941,48.1
1942,76.6
1943,72
1944,86.1
1945,85.3
1946,83
1947,66
1948,120
1949,89.6
1950,52.4
1951,42
1952,50.2
1953,65
1954,105.8
1955,102.7
1956,55
1957,104.6
1958,115.8
1959,76.4
1960,123.2
1961,90.6
1962,57.6
1963,86
1964,60.6
1965,60.4
1966,87
1967,75
1968,75
1969,82.2
1970,98
1971,58.6
1972,86.4
1973,125.4
1974,94
1975,134
1976,94.8
1977,92.6
1978,103
1979,83
1980,85
1981,88
1982,72.6
1983,101.8
1984,105
1985,85
1986,54.6
1987,250.7
1988,54
1989,92.8
1990,114.2
1991,112
1992,106
1993,108
1994,118
1995,75.9
1996,98.3
1997,86.5
1998,69.5
1999,129.9
2000,108
2001,78.1
2002,135.2
2003,53.8
2004,117.5
2005,96.2
2006,54.9
2007,79.9
2008,125.2
2009,112.4
2010,330.6
2011,132.3
2012,84.1
2013,93.4
2014,95.5
2015,65.5
2016,70.5
2017,89.1
2018,77.1
2019,74.7
