UF,SC
Cidade,MAFRA
Nome Posto,RIO PRETO DO SUL
Latitude,-26.215555555555554
Longitude,-49.603611111111114
Codigo,2649016
Qtd. Anos,60
Ano,Maxima
1951,57.6
1952,46.2
1953,86.4
1954,77.6
1955,92.8
1956,117.6
1957,75.4
1958,45.1
1959,51.4
1960,85
1961,46.2
1962,70.6
1963,75.6
1964,145
1965,70.4
1966,43.4
1967,55.2
1968,58.2
1969,67
1970,85.6
1971,67.2
1972,63.7
1973,64.4
1974,93.6
1975,63.2
1976,100.3
1977,81.1
1978,73.2
1979,82.2
1980,81.4
1981,55.2
1982,119
1983,93.6
1984,78.4
1985,40
1986,71.6
1987,77.2
1988,89
1989,94.5
1990,66
1991,77.7
1992,160
1993,63.8
1994,82
1995,93.5
1996,115.5
1997,70.5
1998,72.1
1999,92.3
2000,42.8
2001,66.2
2002,76.9
2003,52
2004,24
2005,91.2
2006,57.2
2007,76.4
2008,80.2
2009,91.1
2010,52.2
