UF,SC
Cidade,JAGUARUNA
Nome Posto,JAGUARUNA
Latitude,-28.60666666666667
Longitude,-49.033055555555556
Codigo,2849020
Qtd. Anos,44
Ano,Maxima
1976,49
1977,150
1978,85
1979,58.5
1980,92
1981,146.4
1982,45
1983,110.8
1984,74.6
1985,85.6
1986,146.4
1987,97.4
1988,55.4
1989,81.5
1990,96.2
1991,116
1992,88.5
1993,55.8
1994,113.8
1995,88
1996,100
1997,69
1998,158
1999,49.9
2000,77.2
2001,105
2002,48.1
2003,48.5
2004,80.5
2005,71.2
2006,49.5
2007,52.4
2008,93.8
2009,115.8
2010,134.5
2011,81.2
2012,71.6
2013,80.4
2014,62.4
2015,123.2
2016,92.8
2017,72.2
2018,64.6
2019,240
