UF,SC
Cidade,BENEDITO NOVO
Nome Posto,BENEDITO NOVO
Latitude,-26.78111111111111
Longitude,-49.365
Codigo,2649003
Qtd. Anos,79
Ano,Maxima
1941,56
1942,86
1943,65
1944,71
1945,88
1946,92
1947,74
1948,105
1949,70
1950,52
1951,55
1952,62
1953,56
1954,76
1955,85
1956,75
1957,64
1958,76
1959,71.6
1960,105
1961,94
1962,63
1963,67
1964,47
1965,73
1966,61
1967,62
1968,51
1969,81
1970,88
1971,76
1972,84
1973,72
1974,119.2
1975,86
1976,63
1977,68
1978,91
1979,108
1980,68
1981,64
1982,81
1983,89.6
1984,82.2
1985,64
1986,50.2
1987,89.4
1988,64
1989,113
1990,98
1991,82
1992,120
1993,50.8
1994,54
1995,70
1996,60.1
1997,68.9
1998,64.2
1999,98.4
2000,95.4
2001,154.8
2002,63.6
2003,68.4
2004,95.4
2005,50.9
2006,52.2
2007,85.3
2008,77.2
2009,35.5
2010,78.3
2011,119.2
2012,78.1
2013,81.5
2014,54.6
2015,76.6
2016,51.4
2017,63
2018,123
2019,72.3
