UF,SC
Cidade,SAUDADES
Nome Posto,SAUDADES
Latitude,-26.928333333333335
Longitude,-53.0075
Codigo,2653007
Qtd. Anos,67
Ano,Maxima
1954,96.2
1955,80
1956,185.2
1957,89
1958,121.4
1959,98
1960,76.8
1961,152.6
1962,84.7
1963,163.7
1964,55.8
1965,149.8
1966,80.5
1967,77.2
1968,83.2
1969,102.3
1970,95.6
1971,93.4
1972,81.2
1973,99.8
1974,83.2
1975,92.2
1976,91.6
1977,88.2
1978,75
1979,105
1980,71.2
1981,101.7
1982,68.3
1983,111.2
1984,73.6
1985,84.2
1986,75.1
1987,117.8
1988,89.6
1989,74.2
1990,196.2
1991,88.4
1992,127.2
1993,78.1
1994,121.2
1995,94.5
1996,78.5
1997,96.6
1998,104
1999,78.5
2000,79.3
2001,90.3
2002,78.5
2003,92.5
2004,115.5
2005,116.5
2006,108
2007,104.3
2008,101.1
2009,106.7
2010,110
2011,184
2012,83.7
2013,83.6
2014,132
2015,176
2016,95.5
2017,109
2018,85.5
2019,116.1
2020,119.1
