UF,SC
Cidade,ICARA
Nome Posto,ICARA
Latitude,-28.721666666666664
Longitude,-49.30333333333333
Codigo,2849022
Qtd. Anos,43
Ano,Maxima
1977,101
1978,59
1979,93
1980,120
1981,85
1982,55
1983,96.6
1984,72
1985,68.7
1986,34.5
1987,41.5
1988,43.2
1989,62
1990,77.6
1991,116.4
1992,90.4
1993,76
1994,119.8
1995,63.1
1996,98
1997,60
1998,92.7
1999,62.1
2000,61.3
2001,99.4
2002,65.4
2003,68.2
2004,124.9
2005,86.7
2006,65.4
2007,93.8
2008,99.3
2009,101.3
2010,149.3
2011,83.3
2012,72.3
2013,98.2
2014,118
2015,170
2016,105
2017,80
2018,53.5
2019,165
