UF,SC
Cidade,PASSOS MAIA
Nome Posto,SANTO AGOSTINHO
Latitude,-26.608611111111113
Longitude,-51.88166666666667
Codigo,2651022
Qtd. Anos,48
Ano,Maxima
1972,105.2
1973,105.2
1974,90.4
1975,124.4
1976,87.2
1977,112
1978,57.2
1979,103.6
1980,78.4
1981,81.7
1982,83
1983,82.4
1984,122.4
1985,196.5
1986,86
1987,98.9
1988,87.4
1989,122.5
1990,106.1
1991,86.5
1992,114.2
1993,86.8
1994,69.1
1995,115.5
1996,84.7
1997,107
1998,109
1999,94.3
2000,79.6
2001,109.1
2002,48.2
2003,135.7
2004,83.3
2005,60
2006,69
2007,105
2008,31.2
2009,24.1
2010,88
2011,91.8
2012,99
2013,101
2014,180
2015,58.9
2016,85.1
2017,105.1
2018,53.8
2019,128
