UF,SC
Cidade,LUIZ ALVES
Nome Posto,LUIZ ALVES
Latitude,-26.724166666666665
Longitude,-48.931666666666665
Codigo,2648002
Qtd. Anos,77
Ano,Maxima
1941,73
1942,129
1943,77.3
1944,111.3
1945,103.6
1946,150
1947,64.4
1948,161.7
1949,117.8
1950,119.8
1951,58.2
1952,119.9
1953,83.2
1954,146.9
1955,75.6
1956,58.2
1957,75.2
1958,107.3
1959,59.8
1960,128.4
1961,133.6
1962,143.2
1963,67.4
1964,63.1
1965,108.5
1966,52.3
1967,173.8
1968,47.2
1969,95.2
1970,215
1971,74.3
1972,92
1973,90.9
1974,82.6
1975,86
1976,66.4
1977,78
1978,118
1979,81.3
1980,68.2
1981,88.2
1982,76
1983,131.2
1984,125
1985,123.4
1986,98
1987,145
1988,72.3
1989,145
1990,99.2
1991,97.4
1992,130.2
1993,141.5
1994,97
1995,78
1996,57.8
1997,68
1998,67.9
1999,67.8
2000,69.7
2001,90
2002,100.3
2003,116.4
2004,73.4
2005,54.3
2006,84.7
2009,66
2010,94.1
2011,112.5
2012,93.3
2013,48.2
2014,103.9
2015,81.7
2016,67.7
2017,98.2
2018,49.4
2019,136.4
