UF,SC
Cidade,SAO LUDGERO
Nome Posto,SAO LUDGERO I
Latitude,-28.325833333333332
Longitude,-49.17916666666667
Codigo,2849002
Qtd. Anos,81
Ano,Maxima
1939,50.2
1940,95.3
1941,60.2
1942,58
1943,56.1
1944,54
1945,55
1946,98.2
1947,54
1948,105
1949,56
1950,64.4
1951,58.2
1952,53
1953,73.4
1954,92.6
1955,47.2
1956,125.2
1957,70
1958,66.2
1959,61.8
1960,92.2
1961,83.2
1962,47.8
1963,64.8
1964,59.4
1965,85.6
1966,91
1967,72
1968,65.4
1969,76.2
1970,65.2
1971,110
1972,107.6
1973,110.2
1974,205
1975,70.4
1976,61
1977,110.2
1978,83.1
1979,55.6
1980,79.8
1981,91
1982,58
1983,105.2
1984,45.8
1985,100.8
1986,107.4
1987,112.4
1988,50.8
1989,83
1990,102
1991,74
1992,89
1993,58.4
1994,119.2
1995,122.8
1996,79.2
1997,76.8
1998,65.6
1999,53.9
2000,89.2
2001,90.2
2002,77
2003,64.6
2004,70.6
2005,104
2006,78
2007,48
2008,42.2
2009,103.1
2010,82
2011,89.4
2012,52
2013,118
2014,113.2
2015,77.5
2016,90.9
2017,66.6
2018,74.9
2019,94
