UF,SC
Cidade,SAO BENTO DO SUL
Nome Posto,RIO NATAL (RVPSC)
Latitude,-26.333333333333332
Longitude,-49.3
Codigo,2649033
Qtd. Anos,46
Ano,Maxima
1939,67
1940,70
1941,84
1942,50.6
1943,55
1944,90
1945,26
1946,42.2
1947,71.3
1948,123
1949,50
1950,34.4
1951,45
1952,49
1953,58.2
1954,55.1
1955,82.3
1956,81.3
1957,60.7
1958,54.3
1959,20
1960,32.3
1961,45
1962,63.4
1963,98
1964,65
1965,96.3
1966,57.6
1967,54
1968,86
1969,93
1970,75
1971,75.1
1972,118
1973,88.2
1974,73
1975,100.5
1976,57
1977,85
1978,99
1979,73
1980,52.2
1981,101.3
1982,50.4
1983,83
1984,39
