UF,SC
Cidade,ALFREDO WAGNER
Nome Posto,SALTINHO
Latitude,-27.683333333333334
Longitude,-49.36527777777778
Codigo,2749037
Qtd. Anos,44
Ano,Maxima
1976,88
1977,79.8
1978,87.4
1979,87.3
1980,100.5
1981,49.7
1982,54.3
1983,73.4
1984,83.4
1985,47.8
1986,79.4
1987,84.7
1988,38.7
1989,71
1990,115.7
1991,55
1992,74.2
1993,110.3
1994,55.2
1995,79.1
1996,52
1997,106.3
1998,81.6
1999,67.3
2000,88.2
2001,135.7
2002,50.7
2003,53.9
2004,49.4
2005,94
2006,65
2007,37.3
2008,64.1
2009,104.3
2010,51.3
2011,87.9
2012,62
2013,77.7
2014,69.5
2015,113.7
2016,66.9
2017,114.5
2018,48.6
2019,59.8
