UF,SC
Cidade,SAO JOSE DO CEDRO
Nome Posto,SAO JOSE DO CEDRO
Latitude,-26.465
Longitude,-53.453611111111115
Codigo,2653005
Qtd. Anos,48
Ano,Maxima
1972,154
1973,85
1974,132
1975,113
1976,85
1977,82.2
1978,102.4
1979,97.3
1980,93
1981,100
1982,125.8
1983,135.4
1984,97.2
1985,59.3
1986,102.9
1987,86.3
1988,119.5
1989,119.5
1990,143.4
1991,123.4
1992,108.3
1993,160
1994,98.4
1995,92.5
1996,96.1
1997,119.2
1998,101.7
1999,78.9
2000,89
2001,132.1
2002,94.7
2003,210.3
2004,80.6
2005,87.4
2006,87.6
2007,99.4
2008,92.2
2009,110.5
2010,136.7
2011,88.4
2012,100.5
2013,140.5
2014,112
2015,126.6
2016,109.3
2017,90.7
2018,101.4
2019,142.3
