UF,SC
Cidade,CONCORDIA
Nome Posto,CONCORDIA
Latitude,-27.314444444444444
Longitude,-51.99333333333333
Codigo,2752005
Qtd. Anos,61
Ano,Maxima
1955,45
1956,101
1957,75
1958,128
1959,59.4
1960,112
1961,138
1962,128
1963,146
1964,68
1965,65
1968,41.7
1969,93
1970,145
1971,95
1972,88.4
1973,109.2
1974,95
1975,100
1976,70.4
1977,98
1978,66.2
1979,79.2
1980,84.2
1981,71
1982,73
1983,114.4
1984,83
1985,64.2
1986,101
1987,105.4
1988,70.4
1989,68
1990,139.8
1991,72.6
1995,53.3
1996,78.4
1997,93.2
1998,84.4
1999,125.7
2000,111.4
2001,72.1
2002,80.2
2003,108.2
2004,71.2
2005,117
2006,80.7
2007,80.8
2008,78.6
2009,67.7
2010,109
2011,95.7
2012,75.6
2013,71.7
2014,134
2015,133.6
2016,89.5
2017,104.1
2018,69.3
2019,84.5
2020,39
