UF,RS
Cidade,SANTANA DO LIVRAMENTO
Nome Posto,SANTANA DO LIVRAMENTO
Latitude,-30.883333333333333
Longitude,-55.53333333333333
Codigo,3055001
Qtd. Anos,67
Ano,Maxima
1912,80
1913,65
1914,70.5
1915,87
1916,64
1917,67
1918,66.7
1919,74
1920,70
1921,68.3
1922,66
1923,64.5
1924,64.5
1925,66.5
1926,104.3
1927,103
1928,90
1929,90
1930,96
1931,66
1932,115
1933,64
1934,64.5
1935,65
1936,69.5
1937,65
1938,120.5
1939,66
1940,115.5
1941,99
1942,102.7
1943,70.2
1944,119.7
1945,48
1946,88.5
1947,108.2
1948,75.4
1949,102.5
1950,58.6
1951,145
1952,138.5
1953,90.6
1954,73.5
1955,72.1
1956,74.2
1957,91.6
1958,149.6
1959,163.9
1960,119.2
1961,90.7
1962,64.1
1963,99.3
1964,69.5
1965,55.8
1966,70.5
1967,100.4
1968,43.6
1969,68.5
1975,119
1976,112
1977,92
1978,53.8
1981,83
1982,84
1983,163.8
1985,99.6
1998,56.4
