UF,RS
Cidade,PORTO LUCENA
Nome Posto,PORTO LUCENA
Latitude,-27.854444444444447
Longitude,-55.02361111111111
Codigo,2755001
Qtd. Anos,72
Ano,Maxima
1949,64
1950,166
1951,106
1952,130
1953,135
1954,175
1955,158
1956,88.2
1957,133.3
1958,84.4
1959,105.4
1960,56.5
1961,98.6
1962,140.3
1963,119.5
1964,105.6
1965,98.5
1966,50.2
1967,81.3
1968,118
1969,83.6
1970,108.4
1971,102
1972,93.2
1973,142.4
1974,139
1975,131.8
1976,136
1977,98.4
1978,59.4
1979,128
1980,112.4
1981,94.6
1982,114.6
1983,134
1984,149.2
1985,190.2
1986,105.3
1987,104.1
1988,80.6
1989,87.3
1990,87
1991,118.8
1992,113.9
1993,88.8
1994,90
1995,76.7
1996,74
1997,123.8
1998,95.9
1999,99.3
2000,88.1
2001,99.8
2002,122.7
2003,123.8
2004,57.9
2005,78.5
2006,82.5
2007,85.9
2008,97.7
2009,79.9
2010,87.7
2011,142
2012,60.5
2013,129
2014,157
2015,131
2016,159
2017,162
2018,116.8
2019,95
2020,147
